v,d,s,r,p
8,0.027,10.229,0,1.244
12,0.037,17.727,0,1.296
24,0.037,18.623,0,1.667
4,0.022,11.942,1,1.064
8,0.031,17.024,1,1.337
12,0.017,10.290,1,1.577
24,0.056,25.710,1,1.481
4,0.072,29.104,0,1.064
8,0.074,38.448,0,1.252
12,0.049,25.012,0,1.198
24,0.060,22.475,0,1.551
4,0.054,21.256,1,1.162
8,0.093,39.893,1,1.116
12,0.077,31.442,1,1.353
24,0.066,38.367,1,1.627
4,0.049,23.705,0,1.120
8,0.055,28.288,0,1.223
12,0.085,36.171,0,1.279
24,0.101,38.084,0,1.356
4,0.047,26.667,1,1.160
8,0.077,24.272,1,1.189
12,0.086,28.204,1,1.291
24,0.093,35.127,1,1.464
4,0.041,16.649,0,1.136
8,0.045,17.642,0,1.179
12,0.020,10.494,0,1.325
24,0.061,22.800,0,1.652
4,0.034,14.022,1,1.183
8,0.064,27.012,1,1.241
12,0.073,30.181,1,1.287
24,0.056,30.389,1,1.545
4,0.047,27.191,0,1.094
8,0.027,14.401,0,1.200
12,0.050,21.938,0,1.317
24,0.093,32.198,0,1.360
4,0.076,24.880,1,0.997
8,0.047,17.662,1,1.127
12,0.053,29.732,1,1.196
24,0.028,11.304,1,1.747
4,0.031,12.555,0,1.159
8,0.086,31.131,0,1.075
12,0.083,33.967,0,1.273
24,0.076,23.066,0,1.319
4,0.057,33.625,1,0.974
8,0.059,33.900,1,1.266
12,0.055,31.046,1,1.240
24,0.060,25.873,1,1.402
4,0.033,17.114,0,1.162
8,0.079,37.855,0,1.143
12,0.061,34.787,0,1.154
24,0.027,12.340,0,1.894
4,0.041,23.856,1,1.095
8,0.041,17.148,1,1.257
12,0.088,37.261,1,1.226
24,0.031,14.333,1,1.728
4,0.058,28.144,0,1.136
8,0.070,23.535,0,1.187
12,0.034,19.889,0,1.440
24,0.100,39.611,0,1.503
4,0.026,12.166,1,1.231
8,0.042,17.690,1,1.124
12,0.094,29.737,1,1.299
24,0.066,23.421,1,1.465
